Land,Regierungsbezirk,Kennziffer,Zulassungsbezirk,Personenkraftwagen_LW,Personenkraftwagen_G,Personenkraftwagen_Bau,Personenkraftwagen_H,Personenkraftwagen_VL,Personenkraftwagen_WD,Personenkraftwagen_SD,Personenkraftwagen_A,Personenkraftwagen_S,Personenkraftwagen,Lastkraftwagen_LW,Lastkraftwagen_G,Lastkraftwagen_Bau,Lastkraftwagen_H,Lastkraftwagen_VL,Lastkraftwagen_WD,Lastkraftwagen_SD,Lastkraftwagen_A,Lastkraftwagen_S,Lastkraftwagen
SACHSEN-ANHALT,RB ZUSAMMEN,15087, MANSFELD-SUEDHARZ,16,82,99,689,69,40,147,10099,322,11563,21,73,119,101,39,23,86,354,64,880
SACHSEN-ANHALT,RB ZUSAMMEN,15088, SAALEKREIS,21,60,146,599,52,93,653,13765,241,15630,11,23,144,86,162,25,386,481,79,1397
SACHSEN-ANHALT,RB ZUSAMMEN,15089, SALZLANDKREIS,10,197,102,545,60,83,279,13224,310,14810,21,47,121,127,63,38,123,496,57,1093
SACHSEN-ANHALT,RB ZUSAMMEN,15090, STENDAL,29,48,113,471,60,55,55,7552,232,8615,24,20,162,72,31,21,38,370,83,821
SACHSEN-ANHALT,RB ZUSAMMEN,15091, WITTENBERG,14,67,84,369,40,42,138,8434,186,9374,13,44,133,101,36,29,76,362,45,839
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1051, DITHMARSCHEN,14,60,108,395,52,208,92,12218,295,13442,10,28,109,67,24,139,57,460,48,942
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1001," FLENSBURG,STADT",0,143,26,1553,30,159,880,6200,154,9145,2,19,21,88,7,12,560,122,25,856
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1053, HERZOGTUM LAUENBURG,6,165,99,652,40,93,176,15508,351,17090,14,53,105,99,131,30,63,558,65,1118
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1002," KIEL,STADT",0,33,52,1078,66,141,1269,13838,738,17215,0,16,56,142,75,27,372,359,116,1163
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1003," LUEBECK,STADT",1,234,86,838,98,265,755,12955,395,15627,3,41,73,60,62,70,235,382,48,974
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1004," NEUMUENSTER,STADT",24,117,105,656,38,18,211,6048,192,7409,6,14,66,79,54,6,53,162,19,459
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1054, NORDFRIESLAND,23,37,103,740,57,93,453,14821,325,16652,4,18,129,87,18,31,135,815,68,1305
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1055, OSTHOLSTEIN,7,80,71,627,35,99,537,16907,288,18651,3,33,58,59,36,38,183,653,58,1121
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1056, PINNEBERG,34,629,233,1568,109,657,504,20682,587,25003,45,191,178,202,141,51,142,620,73,1643
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1057, PLOEN,14,40,61,404,16,71,320,10734,95,11755,5,30,67,34,18,17,128,368,35,702
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1058, RENDSBURG-ECKERNFOERDE,16,84,159,1175,54,43,812,23218,474,26035,8,54,114,136,51,11,264,861,55,1554
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1059, SCHLESWIG-FLENSBURG,11,55,100,1102,49,72,796,18677,216,21078,15,29,131,93,38,32,250,689,48,1325
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1060, SEGEBERG,16,601,227,2300,89,879,195,20867,585,25759,16,97,232,222,132,107,88,647,101,1642
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1061, STEINBURG,0,50,30,592,49,15,547,11400,192,12875,3,17,21,88,23,10,226,381,28,797
SCHLESWIG-HOLSTEIN,RB ZUSAMMEN,1062, STORMARN,5,194,84,1970,79,101,2016,16827,284,21560,3,37,82,166,76,132,487,499,41,1523
THUERINGEN,RB ZUSAMMEN,16077, ALTENBURGER LAND,17,47,47,234,30,17,103,6168,205,6868,10,24,74,49,39,23,42,202,54,517
THUERINGEN,RB ZUSAMMEN,16061, EICHSFELD,8,113,84,315,42,23,36,7286,139,8046,8,43,304,57,102,11,11,439,37,1012
THUERINGEN,RB ZUSAMMEN,16051," ERFURT, STADT",21,96,179,1027,36,354,322,11798,1459,15292,5,26,158,392,139,64,92,358,404,1638
THUERINGEN,RB ZUSAMMEN,16052," GERA, STADT",1,19,35,758,12,38,441,5853,155,7312,3,5,31,86,30,13,110,177,22,477
THUERINGEN,RB ZUSAMMEN,16067, GOTHA,13,127,64,620,14,20,422,9753,235,11268,13,35,103,121,36,4,142,427,30,911
THUERINGEN,RB ZUSAMMEN,16076, GREIZ,7,11,7,180,9,2,515,7308,63,8102,7,12,12,25,33,1,377,425,21,913
THUERINGEN,RB ZUSAMMEN,16069, HILDBURGHAUSEN,7,30,7,432,8,24,96,5156,81,5841,5,9,25,18,20,10,54,312,18,471
THUERINGEN,RB ZUSAMMEN,16070, ILM-KREIS,4,112,62,511,33,64,142,8142,311,9381,13,35,89,119,41,13,48,410,49,817
THUERINGEN,RB ZUSAMMEN,16053," JENA, STADT",1,61,49,645,38,75,420,4594,255,6138,3,3,38,146,4,6,104,109,42,455
THUERINGEN,RB ZUSAMMEN,16065, KYFFHAEUSERKREIS,15,39,43,472,12,35,130,6008,145,6899,17,14,50,26,5,5,57,268,13,455
THUERINGEN,RB ZUSAMMEN,16062, NORDHAUSEN,7,70,48,674,16,32,38,6310,244,7439,11,38,53,126,14,9,24,238,53,566
THUERINGEN,RB ZUSAMMEN,16074, SAALE-HOLZLANDKREIS,26,60,34,283,27,26,145,6133,85,6819,12,13,42,38,44,14,51,323,13,550
THUERINGEN,RB ZUSAMMEN,16075, SAALE-ORLA-KREIS,19,57,31,334,18,27,326,6563,66,7441,19,22,72,50,65,16,177,339,23,783
